"questions_field_name","questions_reporting_hidden","questions_response_label","questions_response_number","questions_score_percentage","questions_score_total","questions_score_value","questions_section_id_0","questions_text","questions_type"
"484166","false","Yes","1","100","1","1","23","Did the price sign match the pump prices?","radio"
"484167","","Yes","1","100","1","1","23","Were all gas pumps operational?","radio"
"484168","false","","","","","","23","If no, how many gas pumps were not operational?","radio"
"484169","false","Yes","1","100","1","1","23","Were there paper towels in all the dispenser?","radio"
"484170","false","Yes","1","100","1","1","23","Was there enough water in all fluid containers to cover the squeegee?","radio"
"484171","false","Yes","1","100","1","1","23","Were there squeegees available on all islands? [in the fluid containers]","radio"
"484172","false","No","2","0","1","0","23","Were all trash cans less than ¾ full?","radio"
"484174","false","Yes","1","100","1","1","23","Were the exterior lights and signs in compliance with the above requirements?","radio"
"484175","false","No","2","0","1","0","4102","Was the storefront glass free of dust/dirt?","radio"
"484176","false","Yes","1","100","1","1","4102","Was the store floor clean [clutter and dirt free]?","radio"
"484177","false","N/A - The floor was not wet","3","","","","4102","If the floor was wet, was a wet floor sign used?","radio"
"484178","false","Yes","1","100","1","1","4102","Were all ceiling lights and neon lights working properly?","radio"
"484179","false","Yes","1","100","1","1","4102","Were the shelves well stocked?","radio"
"484180","false","Yes","1","100","1","1","4102","Were all products placed on the shelf so the label is upright and “facing” the customer as they are looking at the shelves?","radio"
"484181","false","Yes","1","100","1","1","4102","Were all products dust free?","radio"
"484182","false","Yes","1","100","1","1","4102","Was the checkout counter clear of visible clutter?","radio"
"484183","false","Yes","1","100","1","1","69","Were both mens and womens restrooms floor clean?","radio"
"484184","false","Yes","1","100","1","1","69","Did the toilets appear clean?","radio"
"484185","false","Yes","1","100","1","1","69","Was there toilet paper stocked in the restroom?","radio"
"484220","false","Yes","1","100","1","1","69","Were the counters, mirrors and sinks clean?","radio"
"484221","false","","","","","","69","If no, please specify whether the counter, mirror or sinks were unclean. Check all that apply.","checkbox"
"484187","false","Yes","1","100","1","1","69","Were the restroom trash cans less than ¾ full?","radio"
